13	97.644343	4	165	139	2	2
14	97.644343	4	176	151	2	2
15	97.644343	4	212	184	2	2
16	97.644343	4	904	753	2	2
17	97.644343	4	437	355	2	2
18	97.644343	4	224	193	2	2
19	97.644343	4	73	65	2	2
20	97.644343	4	333	285	2	2
Ni_50_7-1_2_17	50	7	102.565000	0.000000	1461602228
1	101.384668	2	97	88	2	2
2	101.384668	2	239	214	2	2
3	101.384668	2	819	767	2	2
4	101.384668	2	551	517	2	2
5	101.384668	2	776	728	2	2
6	101.384668	2	154	142	2	2
7	101.384668	2	98	93	2	2
8	101.384668	2	212	199	2	2
9	101.384668	2	889	853	2	2
10	101.384668	2	338	308	2	2
11	101.384668	2	692	654	2	2
12	101.384668	2	840	782	2	2
13	101.384668	2	1000	949	2	2
14	101.384668	2	394	362	2	2
15	101.384668	2	1093	1022	2	2
16	101.384668	2	172	155	2	2
17	101.384668	2	1434	1305	2	2
18	101.384668	2	1390	1303	2	2
19	101.384668	2	176	173	2	2
20	101.384668	2	79	76	2	2
Ni_50_7-1_2_18	50	7	95.229840	0.000000	1461602265
1	95.208918	6	717	644	2	2
2	94.741336	3	183	204	2	2
3	95.208918	6	177	166	2	2
4	95.229851	2	22	24	1	1
5	95.208918	6	192	176	2	2
6	94.133061	2	1050	928	2	2
7	95.208918	6	43	39	2	2
8	94.133061	2	1353	1213	2	2
9	95.208918	6	174	167	2	2
10	94.741336	3	1689	1528	2	2
11	94.741336	3	92	80	2	2
12	95.208918	6	86	77	2	2
13	94.133061	2	626	563	2	2
14	94.133061	2	312	279	2	2
15	95.229851	2	91	80	1	1
16	94.741336	3	131	116	2	2
17	94.133061	2	1352	1174	2	2
18	94.741336	3	16	14	2	2
19	94.133061	2	234	215	2	2
20	94.133061	2	106	94	2	2
Ni_50_7-1_2_19	50	7	124.296100	0.000000	1461602301
1	123.327056	3	553	542	2	2
2	123.327056	3	547	489	2	2
3	123.327056	3	315	286	2	2
4	123.327056	3	109	99	2	2
5	123.327056	3	674	605	2	2
6	123.327056	3	236	213	2	2
7	123.327056	3	594	524	2	2
8	123.327056	3	144	126	2	2
9	123.327056	3	161	147	2	2
10	123.327056	3	377	354	2	2
11	123.327056	3	1105	985	2	2
12	123.327056	3	632	582	2	2
13	123.327056	3	744	673	2	2
14	123.327056	3	1731	1692	2	2
15	123.327056	3	320	310	2	2
16	123.327056	3	1206	1076	2	2
17	123.327056	3	1484	1318	2	2
18	123.327056	3	18	19	2	2
19	123.327056	3	85	80	2	2
20	123.327056	3	283	252	2	2
Ni_50_7-1_2_20	50	7	123.788100	0.000000	1461602337
1	121.653486	4	354	284	2	2
2	121.017760	3	1042	855	2	2
3	121.017760	3	53	47	2	2
4	121.017760	3	250	201	2	2
5	121.712109	1	335	308	2	2
6	121.017760	3	953	703	2	2
7	121.712109	1	88	68	2	2
8	121.653486	4	1500	1099	2	2
9	121.017760	3	122	97	2	2
10	121.017760	3	482	343	2	2
11	121.017760	3	29	27	2	2
12	121.017760	3	58	45	2	2
13	121.017760	3	437	333	2	2
14	121.017760	3	35	31	2	2
15	121.017760	3	223	178	2	2
16	121.017760	3	361	265	2	2
17	121.712109	1	108	95	2	2
18	121.653486	4	171	129	2	2
19	121.017760	3	348	270	2	2
20	121.653486	4	1810	1346	2	2
Ni_50_7-1_2_21	50	7	109.969400	0.000000	1461602368
1	108.434537	7	647	570	2	2
2	108.434537	7	279	230	2	2
3	108.584122	2	901	782	2	2
4	108.584122	2	450	367	2	2
5	108.434537	7	252	210	2	2
6	108.584122	2	1129	1016	2	2
7	108.434537	7	505	425	2	2
8	108.584122	2	83	68	2	2
9	108.434537	7	383	332	2	2
10	108.434537	7	68	62	2	2
11	108.434537	7	210	172	2	2
12	108.434537	7	626	538	2	2
13	108.434537	7	1538	1343	2	2
14	108.434537	7	324	258	2	2
15	108.584122	2	139	112	2	2
16	108.434537	7	1963	1743	2	2
17	108.434537	7	300	254	2	2
18	108.434537	7	317	245	2	2
19	108.434537	7	166	142	2	2
20	108.434537	7	329	280	2	2
Ni_50_7-1_2_22	50	7	111.769900	0.000000	1461602402
1	110.591335	1	1671	1446	2	2
2	110.358008	6	1434	1290	2	2
3	110.358008	6	810	718	2	2
4	110.921331	5	1694	1484	2	2
5	110.358008	6	388	342	2	2
6	110.358008	6	1880	1647	2	2
7	110.358008	6	1066	926	2	2
8	110.358008	6	1202	1057	2	2
9	110.921331	5	68	61	2	2
10	110.591335	1	949	810	2	2
11	110.358008	6	886	793	2	2
12	110.591335	1	1768	1576	2	2
13	110.358008	6	989	881	2	2
14	110.358008	6	978	1026	2	2
15	110.591335	1	289	243	2	2
16	110.358008	6	924	831	2	2
17	110.921331	5	354	307	2	2
18	110.358008	6	1155	1007	2	2
19	110.358008	6	1388	1219	2	2
20	110.358008	6	1146	1028	2	2
Ni_50_7-1_2_23	50	7	121.399900	0.000000	1461602436
1	121.399866	5	329	274	1	1
2	121.399866	5	172	136	1	1
3	121.399866	5	522	406	1	1
4	121.399866	5	80	68	1	1
5	121.399866	5	528	398	1	1
6	121.399866	5	109	86	1	1
7	121.399866	5	79	62	1	1
8	121.399866	5	179	141	1	1
9	121.399866	5	409	314	1	1
10	121.399866	5	128	93	1	1
11	121.399866	5	230	181	1	1
12	121.399866	5	401	311	1	1
13	121.399866	5	14	11	1	1
14	121.399866	5	170	127	1	1
15	121.399866	5	158	132	1	1
16	121.399866	5	232	204	1	1
17	121.399866	5	153	126	1	1
18	121.399866	5	92	78	1	1
19	121.399866	5	45	31	1	1
20	121.399866	5	490	400	1	1
Ni_50_7-1_2_24	50	7	126.191600	0.000000	1461602465
1	121.800478	1	200	181	2	2
2	121.800478	1	73	70	2	2
3	121.800478	1	134	112	2	2
4	121.800478	1	177	162	2	2
5	121.800478	1	102	84	2	2
6	121.800478	1	147	141	2	2
7	121.800478	1	276	238	2	2
8	121.800478	1	268	234	2	2
9	121.800478	1	112	93	2	2
10	121.800478	1	79	73	2	2
11	121.800478	1	52	46	2	2
12	121.800478	1	59	51	2	2
13	123.257758	2	75	70	2	2
14	121.800478	1	325	320	2	2
15	121.800478	1	90	70	2	2
16	121.800478	1	337	289	2	2
17	121.800478	1	327	301	2	2
18	121.800478	1	267	239	2	2
19	121.800478	1	22	22	2	2
20	121.800478	1	219	188	2	2
Ni_50_7-1_2_25	50	7	102.767500	0.000000	1461602500
1	101.544526	6	154	146	2	2
2	101.544526	6	269	203	2	2
3	101.544526	6	111	92	2	2
4	101.544526	6	64	68	2	2
5	101.544526	6	48	46	2	2
6	101.544526	6	454	366	2	2
7	101.544526	6	340	275	2	2
8	101.544526	6	101	86	2	2
9	101.544526	6	133	113	2	2
10	101.544526	6	296	267	2	2
11	101.544526	6	98	84	2	2
12	101.544526	6	394	309	2	2
13	101.544526	6	86	68	2	2
14	101.544526	6	40	34	2	2
15	101.544526	6	151	127	2	2
16	101.544526	6	370	323	2	2
17	101.544526	6	45	41	2	2
18	101.544526	6	117	96	2	2
19	101.544526	6	549	416	2	2
20	101.544526	6	188	142	2	2
Ni_50_7-2_1_1	50	7	899.761500	0.000000	1461603212
1	897.264398	2	63	67	2	2
2	897.264398	2	35	39	2	2
3	897.264398	2	179	190	2	2
4	897.264398	2	126	139	2	2
5	897.264398	2	17	19	2	2
6	897.264398	2	80	80	2	2
7	897.264398	2	63	63	2	2
8	897.264398	2	15	20	2	2
9	897.264398	2	91	104	2	2
10	897.264398	2	35	40	2	2
11	897.264398	2	10	13	2	2
12	897.264398	2	47	50	2	2
13	897.264398	2	11	15	2	2
14	897.264398	2	43	46	2	2
15	897.264398	2	56	54	2	2
16	897.264398	2	12	17	2	2
17	897.264398	2	36	39	2	2
18	897.264398	2	110	110	2	2
19	897.264398	2	19	24	2	2
20	897.264398	2	21	25	2	2
Ni_50_7-2_1_2	50	7	900.108000	0.000000	1461603252
1	886.487756	2	100	161	2	2
2	886.487756	2	64	80	2	2
3	886.487756	2	210	262	2	2
4	886.487756	2	187	254	2	2
5	886.487756	2	34	42	2	2
6	886.487756	2	127	149	2	2
7	886.487756	2	53	79	2	2
8	886.487756	2	52	69	2	2
9	886.487756	2	14	22	2	2
10	886.487756	2	18	27	2	2
11	886.487756	2	168	271	2	2
12	886.487756	2	35	39	2	2
13	886.487756	2	51	62	2	2
14	886.487756	2	133	149	2	2
15	886.487756	2	48	65	2	2
16	886.487756	2	79	88	2	2
17	886.487756	2	206	232	2	2
18	886.487756	2	5	12	2	2
19	886.487756	2	1	4	2	2
20	886.487756	2	115	130	2	2
Ni_50_7-2_1_3	50	7	892.144700	0.000000	1461603298
1	892.144708	5	1	5	1	1
2	892.144708	5	33	36	1	1
3	892.144708	5	3	5	1	1
4	892.144708	5	70	78	1	1
5	892.144708	5	12	15	1	1
6	892.144708	5	35	37	1	1
7	892.144708	5	12	16	1	1
8	892.144708	5	18	24	1	1
9	892.144708	5	34	42	1	1
10	892.144708	5	26	27	1	1
