(*iter)->filename  	  (*iter)->n  	  (*iter)->m  	(*iter)->opt_obj_given  	  (*iter)->opt_obj_real  	  opt_best_map.at((*iter)->filename)  	(*iter)->rand_seed  	  (*iter)->sol_info_vec.size()  	tct[0]  	  tct[1]  	  tct[2]  	obj[0]  	  obj[1]  	  obj[2]  	iteration[0]  	  iteration[1]  	  iteration[2]  	tm[0]  	  tm[1]  	  tm[2]  	cmp_give_result_cnt[0]  	  cmp_give_result_cnt[1]  	  cmp_give_result_cnt[2]  	cmp_real_result_cnt[0]  	  cmp_real_result_cnt[1]  	  cmp_real_result_cnt[2]  	hit_cnt
Ni_8_2-1_2_11	8	2	200.807200	366.783897	200.807164	1489672924	20	353.284340	353.284340	353.284340	233.897962	233.897962	233.897962	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_12	8	2	164.773500	318.900369	164.773522	1489672925	20	283.454556	283.454556	283.454556	182.510621	182.510621	182.510621	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_13	8	2	179.888000	329.663350	179.888021	1489672926	20	329.663350	329.663350	329.663350	179.888021	179.888021	179.888021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	20	0	0	0	20	20
Ni_8_2-1_2_14	8	2	182.899300	353.300032	182.899324	1489672927	20	352.728574	352.728574	352.728574	218.334510	218.334510	218.334510	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_15	8	2	204.102400	372.594736	204.102401	1489672928	20	370.463647	370.463647	370.463647	245.107244	245.107244	245.107244	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_16	8	2	108.525500	216.441616	108.525539	1489672929	20	214.664841	214.664841	214.664841	116.924037	116.924037	116.924037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_17	8	2	165.768500	326.180163	165.768534	1489672930	20	304.699062	304.699062	304.699062	200.924153	200.924153	200.924153	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_18	8	2	115.461800	220.344295	115.461835	1489672931	20	194.828689	194.828689	194.828689	117.610765	117.610765	117.610765	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_19	8	2	119.584100	199.789007	119.584085	1489672932	20	189.472557	189.472557	189.472557	146.827247	146.827247	146.827247	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_20	8	2	103.924800	199.687144	103.924775	1489672933	20	154.895115	154.895115	154.895115	147.335115	147.335115	147.335115	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_21	8	2	164.109500	322.608435	164.109494	1489672933	20	299.026058	299.026058	299.026058	174.483241	174.483241	174.483241	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_22	8	2	160.634500	311.119789	160.634540	1489672934	20	293.048662	293.048662	293.048662	177.680917	177.680917	177.680917	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_23	8	2	181.888200	346.351561	181.888217	1489672935	20	346.351561	346.351561	346.351561	181.888217	181.888217	181.888217	0.000000	0.000000	0.000000	0.000000	0.100000	1.000000	0	20	0	0	0	20	20
Ni_8_2-1_2_24	8	2	239.291800	471.966723	239.291762	1489672936	20	457.606495	457.606495	457.606495	239.758524	239.758524	239.758524	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
Ni_8_2-1_2_25	8	2	179.244500	321.484910	179.244498	1489672937	20	316.296908	316.296908	316.296908	206.631337	206.631337	206.631337	0.000000	0.000000	0.000000	0.000000	0.050000	1.000000	0	0	20	0	0	20	0
