17	346.408505	3	80	140	2	2
18	346.408505	3	140	221	2	2
19	346.408505	3	200	294	2	2
20	346.408505	3	267	389	2	2
Ni_50_4-1_2_18	50	4	306.755400	306.755439	1462535844
1	306.755439	1	291	415	1	1
2	306.755439	1	73	118	1	1
3	306.755439	1	264	361	1	1
4	306.755439	1	71	119	1	1
5	306.755439	1	95	140	1	1
6	306.755439	1	198	285	1	1
7	306.755439	1	105	163	1	1
8	306.755439	1	260	385	1	1
9	306.755439	1	66	108	1	1
10	306.755439	1	61	102	1	1
11	306.755439	1	70	136	1	1
12	306.755439	1	254	386	1	1
13	306.755439	1	48	81	1	1
14	306.755439	1	68	114	1	1
15	306.755439	1	2	22	1	1
16	306.755439	1	222	340	1	1
17	306.755439	1	220	317	1	1
18	306.755439	1	50	93	1	1
19	306.755439	1	64	137	1	1
20	306.755439	1	73	122	1	1
Ni_50_4-1_2_19	50	4	293.762200	293.762194	1462535899
1	293.762194	2	19	43	1	1
2	293.762194	2	24	42	1	1
3	293.762194	2	33	55	1	1
4	293.762194	2	141	191	1	1
5	293.762194	2	24	40	1	1
6	293.762194	2	29	50	1	1
7	293.762194	2	94	126	1	1
8	293.762194	2	86	116	1	1
9	293.762194	2	43	69	1	1
10	293.762194	2	156	204	1	1
11	293.762194	2	475	604	1	1
12	293.762194	2	67	103	1	1
13	293.762194	2	28	51	1	1
14	293.762194	2	21	42	1	1
15	293.762194	2	43	69	1	1
16	293.762194	2	12	25	1	1
17	293.762194	2	422	533	1	1
18	293.762194	2	181	242	1	1
19	293.762194	2	38	61	1	1
20	293.762194	2	69	102	1	1
Ni_50_4-1_2_20	50	4	468.927900	468.927900	1462535950
1	467.982855	4	60	129	2	2
2	467.982855	4	0	3	2	2
3	467.982855	4	130	196	2	2
4	467.982855	4	218	298	2	2
5	467.982855	4	167	249	2	2
6	467.982855	4	119	165	2	2
7	467.982855	4	18	36	2	2
8	467.982855	4	530	690	2	2
9	467.982855	4	86	131	2	2
10	467.982855	4	225	338	2	2
11	467.982855	4	41	72	2	2
12	467.982855	4	111	160	2	2
13	467.982855	4	29	54	2	2
14	467.982855	4	1232	1674	2	2
15	467.982855	4	157	216	2	2
16	467.982855	4	48	78	2	2
17	467.982855	4	106	150	2	2
18	467.982855	4	457	612	2	2
19	467.982855	4	181	241	2	2
20	467.982855	4	38	62	2	2
Ni_50_4-1_2_21	50	4	340.855400	340.855453	1462536002
1	340.804298	2	800	1168	2	2
2	340.804298	2	456	661	2	2
3	340.804298	2	272	375	2	2
4	340.804298	2	141	225	2	2
5	340.804298	2	1080	1516	2	2
6	340.855453	2	389	558	1	1
7	340.804298	2	659	894	2	2
8	340.804298	2	1012	1438	2	2
9	340.804298	2	1149	1646	2	2
10	340.804298	2	1828	2654	2	2
11	340.804298	2	1411	1972	2	2
12	340.804298	2	359	502	2	2
13	340.804298	2	234	387	2	2
14	340.804298	2	434	623	2	2
15	340.804298	2	73	120	2	2
16	340.804298	2	257	390	2	2
17	340.804298	2	975	1423	2	2
18	340.804298	2	1019	1502	2	2
19	340.855453	2	88	139	1	1
20	340.804298	2	230	358	2	2
Ni_50_4-1_2_22	50	4	331.711200	331.711211	1462536059
1	328.649152	3	147	264	2	2
2	328.649152	3	44	70	2	2
3	328.649152	3	22	44	2	2
4	328.649152	3	36	66	2	2
5	328.649152	3	102	150	2	2
6	328.649152	3	81	111	2	2
7	328.649152	3	55	84	2	2
8	328.649152	3	31	54	2	2
9	328.649152	3	51	77	2	2
10	328.649152	3	100	137	2	2
11	328.649152	3	22	43	2	2
12	328.649152	3	20	43	2	2
13	328.649152	3	7	27	2	2
14	328.649152	3	235	317	2	2
15	328.649152	3	55	80	2	2
16	328.649152	3	29	49	2	2
17	328.649152	3	95	133	2	2
18	328.649152	3	61	90	2	2
19	328.649152	3	121	167	2	2
20	328.649152	3	231	310	2	2
Ni_50_4-1_2_23	50	4	292.175800	292.175711	1462536110
1	291.962152	3	10	33	2	2
2	291.962152	3	9	26	2	2
3	291.962152	3	15	33	2	2
4	291.962152	3	77	104	2	2
5	291.962152	3	146	193	2	2
6	291.962152	3	25	43	2	2
7	291.962152	3	57	86	2	2
8	291.962152	3	48	79	2	2
9	291.962152	3	28	45	2	2
10	291.962152	3	53	91	2	2
11	291.962152	3	2	18	2	2
12	291.962152	3	80	118	2	2
13	291.962152	3	21	42	2	2
14	291.962152	3	3	15	2	2
15	291.962152	3	19	35	2	2
16	291.962152	3	30	50	2	2
17	291.962152	3	63	94	2	2
18	291.962152	3	5	17	2	2
19	291.962152	3	127	187	2	2
20	291.962152	3	36	56	2	2
Ni_50_4-1_2_24	50	4	385.855300	385.855244	1462536163
1	385.855244	2	10	27	1	1
2	385.855244	2	6	21	1	1
3	385.855244	2	2	14	1	1
4	385.855244	2	19	39	1	1
5	385.855244	2	1	14	1	1
6	385.855244	2	27	44	1	1
7	385.855244	2	18	33	1	1
8	385.855244	2	12	26	1	1
9	385.855244	2	34	56	1	1
10	385.855244	2	17	35	1	1
11	385.855244	2	16	32	1	1
12	385.855244	2	40	61	1	1
13	385.855244	2	35	65	1	1
14	385.855244	2	120	180	1	1
15	385.855244	2	33	58	1	1
16	385.855244	2	31	66	1	1
17	385.855244	2	113	146	1	1
18	385.855244	2	58	94	1	1
19	385.855244	2	64	92	1	1
20	385.855244	2	142	189	1	1
Ni_50_4-1_2_25	50	4	349.743200	349.743203	1462536216
1	349.743203	3	8	40	1	1
2	349.743203	3	119	185	1	1
3	349.743203	3	181	246	1	1
4	349.743203	3	534	769	1	1
5	349.743203	3	43	81	1	1
6	349.743203	3	23	60	1	1
7	349.743203	3	138	212	1	1
8	349.743203	3	452	651	1	1
9	349.743203	3	33	70	1	1
10	349.743203	3	262	379	1	1
11	349.743203	3	115	174	1	1
12	349.743203	3	324	470	1	1
13	349.743203	3	7	29	1	1
14	349.743203	3	347	669	1	1
15	349.743203	3	79	130	1	1
16	349.743203	3	32	58	1	1
17	349.743203	3	129	209	1	1
18	349.743203	3	32	92	1	1
19	349.743203	3	188	307	1	1
20	349.743203	3	415	757	1	1
Ni_50_4-2_1_1	50	4	1697.526000	1697.525993	1462536519
1	1690.668256	2	23	99	2	2
2	1690.668256	2	373	661	2	2
3	1690.668256	2	162	304	2	2
4	1690.668256	2	381	643	2	2
5	1690.668256	2	294	531	2	2
6	1690.668256	2	158	361	2	2
7	1690.668256	2	255	456	2	2
8	1690.668256	2	48	112	2	2
9	1690.668256	2	142	262	2	2
10	1690.668256	2	282	503	2	2
11	1690.668256	2	161	297	2	2
12	1690.668256	2	141	267	2	2
13	1690.668256	2	71	134	2	2
14	1690.668256	2	54	124	2	2
15	1690.668256	2	176	336	2	2
16	1690.668256	2	193	402	2	2
17	1690.668256	2	62	180	2	2
18	1690.668256	2	326	565	2	2
19	1690.668256	2	387	681	2	2
20	1690.668256	2	132	246	2	2
Ni_50_4-2_1_2	50	4	1727.748000	1727.747643	1462536587
1	1727.747643	2	55	158	1	1
2	1727.747643	2	37	176	1	1
3	1727.747643	2	276	583	1	1
4	1727.747643	2	69	241	1	1
5	1727.747643	2	65	180	1	1
6	1727.747643	2	188	421	1	1
7	1727.747643	2	2	29	1	1
8	1727.747643	2	50	113	1	1
9	1727.747643	2	37	87	1	1
10	1727.747643	2	75	165	1	1
11	1727.747643	2	105	297	1	1
12	1727.747643	2	69	149	1	1
13	1727.747643	2	97	213	1	1
14	1727.747643	2	127	232	1	1
15	1727.747643	2	1	25	1	1
16	1727.747643	2	267	483	1	1
17	1727.747643	2	184	332	1	1
18	1727.747643	2	156	297	1	1
19	1727.747643	2	161	306	1	1
20	1727.747643	2	203	357	1	1
Ni_50_4-2_1_3	50	4	1774.090000	1774.090116	1462536662
1	1771.113499	3	6	42	2	2
2	1771.113499	3	821	1288	2	2
3	1771.113499	3	1367	2257	2	2
